	Gene name	Gene % GC content
ENSMUSG00000003848	Nob1	48.72
ENSMUSG00000003849	Nqo1	46.88
ENSMUSG00000003863	Ppfia3	51.64
ENSMUSG00000003865	Gys1	49.63
ENSMUSG00000003868	Ruvbl2	54.18
ENSMUSG00000003872	Lin7b	57.07
ENSMUSG00000003873	Bax	51.6
ENSMUSG00000003882	Il7r	37.84
ENSMUSG00000003923	Tfam	43.75
ENSMUSG00000003929	Zfp81	38.89
ENSMUSG00000003934	Efnb3	56.0
ENSMUSG00000003948	Mmd	45.33
ENSMUSG00000003949	Hlf	46.73
ENSMUSG00000003955	Fam162a	45.77
ENSMUSG00000003970	Rpl8	53.02
ENSMUSG00000003974	Grm3	38.58
ENSMUSG00000003992	Ssbp2	39.64
ENSMUSG00000004018	Fancl	39.12
ENSMUSG00000004031	Brinp2	43.28
ENSMUSG00000004032	Gstm5	49.37
ENSMUSG00000004035	Gstm7	50.53
ENSMUSG00000004038	Gstm3	49.61
ENSMUSG00000004040	Stat3	46.51
ENSMUSG00000004043	Stat5a	49.86
ENSMUSG00000004044	Cavin1	52.87
ENSMUSG00000004054	Map3k11	55.01
ENSMUSG00000004056	Akt2	50.71
ENSMUSG00000004069	Dnaja3	48.34
ENSMUSG00000004070	Hmox2	43.62
ENSMUSG00000004071	Cdip1	44.69
ENSMUSG00000004085	Map3k20	43.11
ENSMUSG00000004096	Cwc15	41.46
ENSMUSG00000004098	Col5a3	51.21
ENSMUSG00000004099	Dnmt1	50.27
ENSMUSG00000004100	Ppan	55.97
ENSMUSG00000004105	Angptl2	50.79
ENSMUSG00000004110	Cacna1e	43.34
ENSMUSG00000004113	Cacna1b	46.66
ENSMUSG00000004127	Trmt10a	41.35
ENSMUSG00000004151	Etv1	38.39
ENSMUSG00000004187	Kifc2	54.43
ENSMUSG00000004207	Psap	50.93
ENSMUSG00000004221	Ikbkg	43.62
ENSMUSG00000004231	Pax2	49.47
ENSMUSG00000004233	Wars2	42.31
ENSMUSG00000004263	Atn1	53.11
ENSMUSG00000004264	Phb2	53.26
ENSMUSG00000004266	Ptpn6	50.61
ENSMUSG00000004267	Eno2	52.61
ENSMUSG00000004268	Emg1	46.38
ENSMUSG00000004270	Lpcat3	47.24
ENSMUSG00000004285	Atp6v1f	49.98
ENSMUSG00000004296	Il12b	43.85
ENSMUSG00000004317	Clcn5	40.82
ENSMUSG00000004319	Clcn3	37.97
ENSMUSG00000004328	Hif3a	49.79
ENSMUSG00000004341	Gpx6	45.21
ENSMUSG00000004344	Gpx5	44.49
ENSMUSG00000004347	Pde1c	40.71
ENSMUSG00000004356	Utp20	43.7
ENSMUSG00000004359	Spic	43.28
ENSMUSG00000004360	9330159F19Rik	37.19
ENSMUSG00000004364	Cul3	35.79
ENSMUSG00000004366	Sst	51.37
ENSMUSG00000004371	Il11	53.62
ENSMUSG00000004383	Large1	41.55
ENSMUSG00000004393	Ddx56	50.47
ENSMUSG00000004394	Tmed4	47.29
ENSMUSG00000004415	Col26a1	49.72
ENSMUSG00000004446	Bid	49.71
ENSMUSG00000004451	Ralb	48.16
ENSMUSG00000004455	Ppp1cc	48.96
ENSMUSG00000004460	Dnajb11	44.76
ENSMUSG00000004462	Tbccd1	43.26
ENSMUSG00000004473	Clec11a	53.84
ENSMUSG00000004500	Zfp324	50.58
ENSMUSG00000004508	Gab2	40.36
ENSMUSG00000004530	Coro1c	49.8
ENSMUSG00000004535	Tax1bp1	38.65
ENSMUSG00000004540	Psg17	47.46
ENSMUSG00000004542	Psg19	48.38
ENSMUSG00000004552	Ctse	46.74
ENSMUSG00000004558	Ndrg2	52.51
ENSMUSG00000004561	Mettl17	47.32
ENSMUSG00000004562	Arhgef40	51.09
ENSMUSG00000004565	Pnpla6	48.2
ENSMUSG00000004567	Mcoln1	49.43
ENSMUSG00000004568	Arhgef18	47.41
ENSMUSG00000004591	Pkn2	36.64
ENSMUSG00000004609	Cd33	44.28
ENSMUSG00000004610	Etfb	49.83
ENSMUSG00000004612	Nkg7	54.46
ENSMUSG00000004613		
ENSMUSG00000004626	Stxbp2	51.32
ENSMUSG00000004630	Pcp2	51.26
ENSMUSG00000004631	Sgce	39.94
ENSMUSG00000004633	Chn2	45.02
ENSMUSG00000004637	Wwox	45.83
ENSMUSG00000004642	Slbp	44.11
ENSMUSG00000004651	Tyr	34.74
ENSMUSG00000004654	Ghrhr	50.52
ENSMUSG00000004655	Aqp1	52.91
ENSMUSG00000004661	Arid3b	46.71
ENSMUSG00000004665	Cnn2	53.91
ENSMUSG00000004667	Polr2e	55.6
ENSMUSG00000004668	Abca13	40.03
ENSMUSG00000004677	Myo9b	49.85
ENSMUSG00000004698	Hdac9	38.96
ENSMUSG00000004707	Ly9	43.85
ENSMUSG00000004709	Cd244a	44.26
ENSMUSG00000004730	Adgre1	41.16
ENSMUSG00000004748	Mtfp1	52.29
ENSMUSG00000004768	Rab23	46.0
ENSMUSG00000004771	Rab11a	39.5
ENSMUSG00000004788	Eif2b2	49.44
ENSMUSG00000004789	Dlst	44.8
ENSMUSG00000004791	Pgf	54.32
ENSMUSG00000004798	Ulk2	39.55
ENSMUSG00000004814	Ccl24	50.72
ENSMUSG00000004815	Dgkq	49.32
ENSMUSG00000004821	Tmed11	38.67
ENSMUSG00000004837	Grap	52.85
ENSMUSG00000004842	Pou1f1	35.75
ENSMUSG00000004843	Chmp2b	40.07
ENSMUSG00000004846	Plod3	56.15
ENSMUSG00000004849	Ap1s1	51.29
ENSMUSG00000004864	Mapk13	53.16
ENSMUSG00000004865	Srpk1	46.57
ENSMUSG00000004872	Pax3	42.51
ENSMUSG00000004880	Lbr	45.66
ENSMUSG00000004885	Crabp2	52.45
ENSMUSG00000004891	Nes	54.7
ENSMUSG00000004892	Bcan	56.31
ENSMUSG00000004894	Hapln2	53.07
ENSMUSG00000004895	Prcc	45.23
ENSMUSG00000004896	Rrnad1	49.59
ENSMUSG00000004897	Hdgf	52.15
ENSMUSG00000004902	Slc25a18	48.11
ENSMUSG00000004929	Thop1	56.78
ENSMUSG00000004931	Apba3	54.7
ENSMUSG00000004933	Matk	55.55
ENSMUSG00000004934	Pias4	56.39
ENSMUSG00000004936	Map2k1	45.23
ENSMUSG00000004937	Sgta	54.49
ENSMUSG00000004939	Nmrk2	53.43
ENSMUSG00000004945	Tmem242	45.76
ENSMUSG00000004947	Dtx2	50.66
ENSMUSG00000004948	Zp3	49.3
ENSMUSG00000004951	Hspb1	59.64
ENSMUSG00000004952	Rasa4	52.04
ENSMUSG00000004961	Syt5	50.28
ENSMUSG00000004980	Hnrnpa2b1	38.3
ENSMUSG00000004988	Fxyd4	47.65
ENSMUSG00000004994	Ccdc130	51.23
ENSMUSG00000004996	Mri1	49.7
ENSMUSG00000005034	Prkacb	40.73
ENSMUSG00000005043	Sgsh	53.91
ENSMUSG00000005045	Chd5	55.65
ENSMUSG00000005054	Cstb	52.71
ENSMUSG00000005057	Sh2b2	53.12
ENSMUSG00000005069	Pex5	47.32
ENSMUSG00000005078	Jkamp	44.7
ENSMUSG00000005087	Cd44	42.2
ENSMUSG00000005089	Slc1a2	43.96
ENSMUSG00000005102	Eif2ak4	44.79
ENSMUSG00000005103	Wdr1	49.74
ENSMUSG00000005107	Slc2a9	47.6
ENSMUSG00000005124	Ccn4	46.87
ENSMUSG00000005125	Ndrg1	48.95
ENSMUSG00000005131	4930550C14Rik	42.47
ENSMUSG00000005142	Man2b1	50.26
ENSMUSG00000005148	Klf5	44.32
ENSMUSG00000005150	Wdr83	49.74
ENSMUSG00000005161	Prdx2	48.61
ENSMUSG00000005198	Polr2a	45.41
ENSMUSG00000005202	Shbg	51.26
ENSMUSG00000005204	Senp3	47.84
ENSMUSG00000005220	Corin	41.47
ENSMUSG00000005225	Plekha8	42.8
ENSMUSG00000005232	G6pc2	41.62
ENSMUSG00000005233	Spc25	39.94
ENSMUSG00000005237	Dnah2	48.59
ENSMUSG00000005251	Ripk4	48.68
ENSMUSG00000005262	Ufd1	45.1
ENSMUSG00000005267	Zfp287	44.14
ENSMUSG00000005268	Prlr	40.18
ENSMUSG00000005299	Letm1	46.98
ENSMUSG00000005312	Ubqln1	43.1
ENSMUSG00000005320	Fgfr4	51.58
ENSMUSG00000005338	Cadm3	45.93
ENSMUSG00000005339	Fcer1a	37.92
ENSMUSG00000005354	Txn2	50.39
ENSMUSG00000005355	Casp14	45.7
ENSMUSG00000005357	Slc1a6	43.29
ENSMUSG00000005360	Slc1a3	43.59
ENSMUSG00000005362	Crbn	38.95
ENSMUSG00000005364	Il5ra	40.4
ENSMUSG00000005370	Msh6	45.11
ENSMUSG00000005371	Fbxo11	40.4
ENSMUSG00000005373	Mlxipl	49.94
ENSMUSG00000005374	Tbl2	47.45
ENSMUSG00000005378	Bud23	50.93
ENSMUSG00000005397	Nid1	45.07
ENSMUSG00000005410	Mcm5	46.5
ENSMUSG00000005413	Hmox1	48.64
ENSMUSG00000005417	Mprip	46.1
ENSMUSG00000005442	Cic	57.09
ENSMUSG00000005447	Pafah1b3	53.2
ENSMUSG00000005465	Il27ra	49.91
ENSMUSG00000005469	Prkaca	50.11
ENSMUSG00000005470	Asf1b	44.79
ENSMUSG00000005474	Myl10	52.59
ENSMUSG00000005481	Ddx39a	52.01
ENSMUSG00000005483	Dnajb1	52.57
ENSMUSG00000005493	Msh4	42.18
ENSMUSG00000005501	Usp40	41.52
ENSMUSG00000005503	Evx1	58.84
ENSMUSG00000005505	Kbtbd4	45.65
ENSMUSG00000005506	Celf1	40.91
ENSMUSG00000005510	Ndufs3	44.59
ENSMUSG00000005514	Por	49.75
ENSMUSG00000005533	Igf1r	46.28
ENSMUSG00000005534	Insr	43.1
ENSMUSG00000005540	Fcer2a	48.1
ENSMUSG00000005547	Cyp2a5	46.22
ENSMUSG00000005553	Atp4a	52.93
ENSMUSG00000005566	Trim28	48.13
ENSMUSG00000005575	Ube2m	56.24
ENSMUSG00000005580	Adcy9	44.13
ENSMUSG00000005583	Mef2c	37.5
ENSMUSG00000005609	Ctr9	43.74
ENSMUSG00000005610	Eif4g2	41.86
ENSMUSG00000005611	Irag1	46.22
ENSMUSG00000005615	Pcyt1a	43.11
ENSMUSG00000005621	Zfp592	44.7
ENSMUSG00000005625	Psmd4	47.14
ENSMUSG00000005628	Tmod4	51.33
ENSMUSG00000005640	Insrr	52.64
ENSMUSG00000005649	Cabp5	41.88
ENSMUSG00000005656	Snx6	44.51
ENSMUSG00000005667	Mthfd2	44.82
ENSMUSG00000005672	Kit	46.01
ENSMUSG00000005674	Tomm40l	52.18
ENSMUSG00000005677	Nr1i3	50.51
ENSMUSG00000005681	Apoa2	51.73
ENSMUSG00000005682	Pan2	47.36
ENSMUSG00000005683	Cs	43.91
ENSMUSG00000005686	Ampd3	50.18
ENSMUSG00000005687	Bcas2	42.77
ENSMUSG00000005696	Sh2d1a	37.13
ENSMUSG00000005698	Ctcf	41.42
ENSMUSG00000005699	Pard6a	57.0
ENSMUSG00000005705	Agrp	48.37
ENSMUSG00000005716	Pvalb	52.25
ENSMUSG00000005718	Tfap4	50.64
ENSMUSG00000005732	Ranbp1	47.42
ENSMUSG00000005763	Cd247	46.73
ENSMUSG00000005774	Rfx5	50.06
ENSMUSG00000005779	Psmb4	49.84
ENSMUSG00000005800	Mmp8	40.99
ENSMUSG00000005802	Slc30a4	38.31
ENSMUSG00000005803	Sqor	42.3
ENSMUSG00000005804	Bloc1s6	43.12
ENSMUSG00000005813	Metap1	42.78
ENSMUSG00000005823	Gpr108	49.7
ENSMUSG00000005824	Tnfsf14	50.34
ENSMUSG00000005836	Gata6	45.08
ENSMUSG00000005846	Rsl1d1	43.76
ENSMUSG00000005864	Cnga2	43.35
ENSMUSG00000005871	Apc	41.37
ENSMUSG00000005873	Reep5	47.09
ENSMUSG00000005881	Ergic3	52.34
ENSMUSG00000005882	Uqcc1	45.98
ENSMUSG00000005883	Spo11	46.43
ENSMUSG00000005886	Ncoa2	44.28
ENSMUSG00000005891	Prl4a1	35.1
ENSMUSG00000005892	Trh	53.32
ENSMUSG00000005893	Nr2c2	41.02
ENSMUSG00000005897	Nr2c1	42.2
ENSMUSG00000005899	Smpd4	47.8
ENSMUSG00000005907	Pex1	42.41
ENSMUSG00000005917	Otx1	56.0
ENSMUSG00000005936	Kctd20	48.64
ENSMUSG00000005947	Itgae	48.42
ENSMUSG00000005949	Ctns	48.86
ENSMUSG00000005950	P2rx5	51.22
ENSMUSG00000005951	Shpk	46.36
ENSMUSG00000005952	Trpv1	48.35
ENSMUSG00000005958	Ephb3	53.68
ENSMUSG00000005968	Tuft1	45.45
ENSMUSG00000005973	Rcn1	47.93
ENSMUSG00000005980	Dnase1	51.02
ENSMUSG00000005981	Trap1	46.73
ENSMUSG00000005982	Naa60	45.19
ENSMUSG00000005983	1700037C18Rik	48.1
ENSMUSG00000005986	Ankrd13d	49.24
ENSMUSG00000005994	Tyrp1	39.02
ENSMUSG00000006005	Tpr	37.73
ENSMUSG00000006007	Pdc	35.85
ENSMUSG00000006010	Odr4	38.55
ENSMUSG00000006014	Prg4	40.48
ENSMUSG00000006019	Dhx34	54.0
ENSMUSG00000006021	Kptn	51.26
ENSMUSG00000006024	Napa	53.0
ENSMUSG00000006050	Sra1	44.09
ENSMUSG00000006056	Calcoco2	44.45
ENSMUSG00000006057	Atp5g1	48.23
ENSMUSG00000006058	Snf8	45.02
ENSMUSG00000006095	Tbcb	49.59
ENSMUSG00000006127	Inpp5k	49.04
ENSMUSG00000006134	Crkl	42.83
ENSMUSG00000006143	Upk3bl	50.35
ENSMUSG00000006154	Eps8l1	50.56
ENSMUSG00000006169	Clint1	42.89
ENSMUSG00000006179	Prss16	49.3
ENSMUSG00000006191	Cdkal1	41.89
ENSMUSG00000006200	Rhox6	49.25
ENSMUSG00000006204	Cdcp3	43.94
ENSMUSG00000006205	Htra1	48.47
ENSMUSG00000006215	Zbtb17	53.48
ENSMUSG00000006216	Clcnkb	53.59
ENSMUSG00000006218	Fam131c	53.3
ENSMUSG00000006219	Fblim1	50.76
ENSMUSG00000006221	Hspb7	57.8
ENSMUSG00000006235	Epor	55.73
ENSMUSG00000006241	Ccdc159	50.11
ENSMUSG00000006262	Mob1b	39.53
ENSMUSG00000006269	Atp6v1b1	52.92
ENSMUSG00000006270	Vax1	57.52
ENSMUSG00000006273	Atp6v1b2	41.53
ENSMUSG00000006276	Eps15l1	48.21
ENSMUSG00000006281	Tep1	46.39
ENSMUSG00000006288	Ttc5	44.52
ENSMUSG00000006289	Osgep	45.04
ENSMUSG00000006299	Aamp	54.07
ENSMUSG00000006301	Tmbim1	51.34
ENSMUSG00000006304	Arpc2	44.47
ENSMUSG00000006307	Kmt2b	54.6
ENSMUSG00000006310	Zbtb32	49.41
ENSMUSG00000006311	Etv2	56.24
ENSMUSG00000006313	Upk1a	50.56
ENSMUSG00000006315	Tmem147	54.35
ENSMUSG00000006333	Rps9	48.78
ENSMUSG00000006335	Tfpt	48.44
ENSMUSG00000006342	Susd2	56.26
ENSMUSG00000006344	Ggt5	47.45
ENSMUSG00000006345	Ggt1	50.78
ENSMUSG00000006356	Crip2	58.66
ENSMUSG00000006360	Crip1	55.0
ENSMUSG00000006362	Cbfa2t3	53.79
ENSMUSG00000006369	Fbln1	50.36
ENSMUSG00000006373	Pgrmc1	43.54
ENSMUSG00000006378	Gcat	52.55
ENSMUSG00000006386	Tek	41.15
ENSMUSG00000006389	Mpl	48.09
ENSMUSG00000006390	Elovl1	54.21
ENSMUSG00000006392	Med8	48.99
ENSMUSG00000006395	Hyi	56.37
ENSMUSG00000006398	Cdc20	50.97
ENSMUSG00000006403	Adamts4	51.97
ENSMUSG00000006411	Nectin4	51.37
ENSMUSG00000006412	Pfdn2	44.92
ENSMUSG00000006418	Rnf114	49.52
ENSMUSG00000006423	Steep1	43.04
ENSMUSG00000006435	Neurl1a	50.56
ENSMUSG00000006442	Srm	58.58
ENSMUSG00000006445	Epha2	53.89
ENSMUSG00000006456	Rbm14	47.28
ENSMUSG00000006457	Actn3	50.69
ENSMUSG00000006462	A530013C23Rik	52.86
ENSMUSG00000006463	Zdhhc24	50.59
ENSMUSG00000006464	Bbs1	49.04
ENSMUSG00000006469	Slc34a3	55.44
ENSMUSG00000006471	Ndor1	52.57
ENSMUSG00000006476	Nsmf	57.3
ENSMUSG00000006488	Prl7a1	34.7
ENSMUSG00000006490	Prl8a9	33.42
ENSMUSG00000006494	Pdk1	43.58
ENSMUSG00000006498	Ptbp1	55.85
ENSMUSG00000006517	Mvd	54.17
ENSMUSG00000006519	Cyba	53.18
ENSMUSG00000006522	Itih3	49.69
ENSMUSG00000006526	Stimate	47.7
ENSMUSG00000006527	Sfmbt1	40.39
ENSMUSG00000006529	Itih1	50.86
ENSMUSG00000006538	Ihh	59.37
ENSMUSG00000006542	Prkag3	49.43
ENSMUSG00000006546	Cryba2	53.21
ENSMUSG00000006567	Atp7b	47.04
ENSMUSG00000006570	Defb2	42.59
ENSMUSG00000006574	Slc4a1	53.72
ENSMUSG00000006575	Rundc3a	55.73
ENSMUSG00000006576	Slc4a3	55.79
ENSMUSG00000006585	Cdt1	55.42
ENSMUSG00000006586	Runx1t1	40.63
ENSMUSG00000006587	Snai3	53.89
ENSMUSG00000006589	Aprt	57.14
ENSMUSG00000006599	Gtf2h1	40.85
ENSMUSG00000006611	Hfe	46.97
ENSMUSG00000006638	Abhd1	49.56
ENSMUSG00000006641	Slc5a6	50.66
ENSMUSG00000006642	Tcf23	50.6
ENSMUSG00000006649	Nphs1	49.47
ENSMUSG00000006651	Aplp1	53.61
ENSMUSG00000006673	Qrich1	42.34
ENSMUSG00000006675	P4htm	50.43
ENSMUSG00000006676	Usp19	54.77
ENSMUSG00000006678	Pola1	37.61
ENSMUSG00000006699	Cdc42	41.05
ENSMUSG00000006705	Pknox1	48.06
ENSMUSG00000006711	D130043K22Rik	45.08
ENSMUSG00000006715	Gmnn	43.17
ENSMUSG00000006717	Acot13	43.53
ENSMUSG00000006720	Zfp184	41.78
ENSMUSG00000006724	Cyp27b1	53.29
ENSMUSG00000006728	Cdk4	51.65
ENSMUSG00000006731	B4galnt1	55.5
ENSMUSG00000006732	Mettl1	52.83
ENSMUSG00000006736	Tspan31	49.31
ENSMUSG00000006740	Kif5b	38.71
ENSMUSG00000006763	Saal1	45.56
ENSMUSG00000006764	Tph2	43.28
ENSMUSG00000006777	Krt23	45.48
ENSMUSG00000006782	Cnp	50.49
ENSMUSG00000006784	Odad4	49.9
ENSMUSG00000006800	Sulf2	52.54
ENSMUSG00000006818	Sod2	45.24
ENSMUSG00000006850	Tmco6	48.72
ENSMUSG00000006906	Stambp	46.1
ENSMUSG00000006920	Ezh1	45.63
ENSMUSG00000006930	Hap1	55.83
ENSMUSG00000006931	P3h4	54.87
ENSMUSG00000006932	Ctnnb1	46.34
ENSMUSG00000006941	Eif1b	56.11
ENSMUSG00000006948	Klk4	53.13
ENSMUSG00000006958	Chrd	54.16
ENSMUSG00000006998	Psmd2	45.42
ENSMUSG00000007021	Syngr3	53.74
ENSMUSG00000007029	Vars	53.96
ENSMUSG00000007030	Vwa7	54.65
ENSMUSG00000007033	Hspa1l	48.28
ENSMUSG00000007034	Slc44a4	50.27
ENSMUSG00000007035	Msh5	48.81
ENSMUSG00000007036	Abhd16a	54.87
ENSMUSG00000007038	Neu1	54.14
ENSMUSG00000007039	Ddah2	57.79
ENSMUSG00000007041	Clic1	49.54
ENSMUSG00000007050	Lsm2	47.84
ENSMUSG00000007080	Pole	44.46
ENSMUSG00000007097	Atp1a2	49.67
ENSMUSG00000007107	Atp1a4	45.25
ENSMUSG00000007122	Casq1	49.55
ENSMUSG00000007207	Stx1a	51.87
ENSMUSG00000007209	Ceacam9	51.62
ENSMUSG00000007216	Zfp775	48.6
ENSMUSG00000007279	Scube2	46.18
ENSMUSG00000007338	Mrpl49	47.6
ENSMUSG00000007379	Dennd2c	43.96
ENSMUSG00000007411	Mark3	42.48
ENSMUSG00000007415	Gatad1	42.71
ENSMUSG00000007440	Pcdha10	39.82
ENSMUSG00000007457	2310003L06Rik	37.87
ENSMUSG00000007458	M6pr	43.7
ENSMUSG00000007476	Lrrc8a	51.64
ENSMUSG00000007480	Mc5r	43.6
ENSMUSG00000007564	Ppp2r1a	44.7
ENSMUSG00000007570	Fance	52.02
ENSMUSG00000007589	Tinf2	47.85
ENSMUSG00000007591	Tssk4	50.13
ENSMUSG00000007594	Hapln4	54.56
ENSMUSG00000007603	Dus3l	56.45
ENSMUSG00000007610	Gtpbp3	54.18
ENSMUSG00000007613	Tgfbr1	38.96
ENSMUSG00000007617	Homer1	37.94
ENSMUSG00000007646	Rad51c	41.94
ENSMUSG00000007653	Gabrb2	36.99
ENSMUSG00000007655	Cav1	42.1
ENSMUSG00000007656	Arpp19	39.37
ENSMUSG00000007659	Bcl2l1	46.98
ENSMUSG00000007670	Khsrp	53.63
ENSMUSG00000007682	Dio2	42.09
ENSMUSG00000007721	Ccdc124	55.42
ENSMUSG00000007739	Cct4	39.81
ENSMUSG00000007777	0610009B22Rik	43.02
ENSMUSG00000007783	Cpt1c	52.48
ENSMUSG00000007805	Twist2	49.12
ENSMUSG00000007812	Zfp655	42.9
ENSMUSG00000007815	Rhoa	42.4
ENSMUSG00000007817	Zmiz1	52.31
ENSMUSG00000007827	Ankrd26	40.87
ENSMUSG00000007833	Aldh16a1	51.06
ENSMUSG00000007836	Hnrnpa0	55.38
ENSMUSG00000007837	Prrg2	51.72
ENSMUSG00000007850	Hnrnph1	39.93
ENSMUSG00000007867	Ift43	48.56
ENSMUSG00000007872	Id3	55.51
ENSMUSG00000007877	Tcap	60.37
ENSMUSG00000007880	Arid1a	46.37
ENSMUSG00000007888	Crlf1	55.82
ENSMUSG00000007891	Ctsd	53.93
ENSMUSG00000007892	Rplp1	51.79
ENSMUSG00000007907	Cabs1	37.99
ENSMUSG00000007908	Hmgcll1	38.08
ENSMUSG00000007944	Ttc9b	58.71
ENSMUSG00000007946	Phox2a	56.59
ENSMUSG00000007950	Abhd8	54.68
ENSMUSG00000007987	Ift22	49.8
ENSMUSG00000007989	Fzd3	39.49
ENSMUSG00000008028	1700008O03Rik	49.0
ENSMUSG00000008035	Mid1ip1	51.6
ENSMUSG00000008036	Ap2s1	52.27
ENSMUSG00000008090	Fgfrl1	55.7
ENSMUSG00000008129	Brme1	47.28
ENSMUSG00000008136	Fhl2	44.75
ENSMUSG00000008140	Emc10	55.07
ENSMUSG00000008153	Clstn3	49.32
ENSMUSG00000008167	Fbxw9	51.33
ENSMUSG00000008193	Spib	53.87
ENSMUSG00000008200	Fnbp4	41.8
ENSMUSG00000008206	Cers4	45.96
ENSMUSG00000008226	Scrn3	41.0
ENSMUSG00000008301	Phax	44.01
ENSMUSG00000008305	Tle1	41.35
ENSMUSG00000008307	1700109H08Rik	43.13
ENSMUSG00000008318	Relt	53.88
ENSMUSG00000008333	Snrpb2	40.86
ENSMUSG00000008348	Ubc	55.76
ENSMUSG00000008373	Prpf31	49.22
ENSMUSG00000008384	Sertad1	55.83
ENSMUSG00000008393	Carhsp1	53.2
ENSMUSG00000008398	Elk3	47.61
ENSMUSG00000008429	Herpud2	38.53
ENSMUSG00000008435	Rdh13	46.95
ENSMUSG00000008438	Adam21	41.24
ENSMUSG00000008450	Nutf2	46.86
ENSMUSG00000008461	Fut1	52.0
ENSMUSG00000008475	Arpc5	42.66
ENSMUSG00000008482	Rnf151	51.1
ENSMUSG00000008489	Elavl2	40.19
ENSMUSG00000008496	Pou2f2	51.78
ENSMUSG00000008540	Mgst1	42.94
ENSMUSG00000008575	Nfib	41.74
ENSMUSG00000008590	Htr3b	43.95
ENSMUSG00000008601	Rab25	50.49
ENSMUSG00000008604	Ubqln4	50.34
ENSMUSG00000008658	Rbfox1	42.11
ENSMUSG00000008668	Rps18	51.34
ENSMUSG00000008682	Rpl10	45.87
ENSMUSG00000008683	Rps15a	45.52
ENSMUSG00000008690	Ncaph2	49.43
ENSMUSG00000008730	Hipk1	42.62
ENSMUSG00000008734	Gprc5b	50.8
ENSMUSG00000008763	Man1a2	38.75
ENSMUSG00000008789	Ceacam5	39.49
ENSMUSG00000008813	Tppp2	50.66
ENSMUSG00000008822	Acyp1	44.95
ENSMUSG00000008843	Cldn13	52.19
ENSMUSG00000008845	Cd163	41.47
ENSMUSG00000008855	Hdac5	54.97
ENSMUSG00000008859	Rala	40.9
ENSMUSG00000008874	Clec3a	44.9
ENSMUSG00000008892	Vdac3	40.76
ENSMUSG00000008932	Slc1a7	50.38
ENSMUSG00000008958	Vps72	45.83
ENSMUSG00000008976	Gabpa	40.67
ENSMUSG00000008999	Bmp7	52.07
ENSMUSG00000009013	Dynll1	50.54
ENSMUSG00000009030	Pdcl	42.24
ENSMUSG00000009035	Tmem184b	53.19
ENSMUSG00000009047	Gm5965	53.54
ENSMUSG00000009070	Rsph14	52.08
ENSMUSG00000009073	Nf2	44.73
ENSMUSG00000009075	Cabp7	57.44
ENSMUSG00000009076	Zmat5	49.16
ENSMUSG00000009079	Ewsr1	42.57
ENSMUSG00000009090	Ap1b1	48.12
ENSMUSG00000009092	Derl3	57.97
ENSMUSG00000009093	Gstt4	46.63
ENSMUSG00000009097	Tbx1	59.81
ENSMUSG00000009108	Gnat2	46.74
ENSMUSG00000009112	Bcl2l13	43.41
ENSMUSG00000009114	2610028H24Rik	49.04
ENSMUSG00000009115	Spatc1l	48.27
ENSMUSG00000009145	Dqx1	50.64
ENSMUSG00000009185	Ccl8	48.17
ENSMUSG00000009207	Lnpk	35.74
ENSMUSG00000009210	Prr29	49.76
ENSMUSG00000009214	Mymk	50.68
ENSMUSG00000009216	Fam163b	51.56
ENSMUSG00000009246	Trpm5	52.98
ENSMUSG00000009248	Ascl2	60.39
ENSMUSG00000009281	Rarres2	50.55
ENSMUSG00000009291	Pttg1ip	50.02
ENSMUSG00000009292	Trpm2	49.71
ENSMUSG00000009293	Ube2g2	48.59
ENSMUSG00000009350	Mpo	50.93
ENSMUSG00000009356	Lpo	48.2
ENSMUSG00000009376	Met	41.79
ENSMUSG00000009378	Slc16a12	40.91
ENSMUSG00000009394	Syn2	41.82
ENSMUSG00000009406	Elk1	44.14
ENSMUSG00000009418	Nav1	48.26
ENSMUSG00000009470	Tnpo1	41.51
ENSMUSG00000009471	Myod1	58.15
ENSMUSG00000009487	Otog	50.69
ENSMUSG00000009535	Rnmt	41.34
ENSMUSG00000009545	Kcnq1	46.61
ENSMUSG00000009549	Srp14	49.69
ENSMUSG00000009551	6330409D20Rik	50.07
ENSMUSG00000009555	Cdk9	53.54
ENSMUSG00000009563	Tor2a	54.62
ENSMUSG00000009566	Fpgs	52.05
ENSMUSG00000009569	Mrtfb	42.96
ENSMUSG00000009575	Cbx5	41.23
ENSMUSG00000009580	Odam	37.22
ENSMUSG00000009585	Apobec3	49.51
ENSMUSG00000009588	St6galnac1	48.11
ENSMUSG00000009596	Taf7l	40.19
ENSMUSG00000009614	Sardh	51.51
ENSMUSG00000009621	Vav2	51.41
ENSMUSG00000009628	Tex15	38.33
ENSMUSG00000009630	Ppp2cb	45.04
ENSMUSG00000009633	G0s2	57.24
ENSMUSG00000009640	Dmap1	50.88
ENSMUSG00000009646	Pla2g12b	45.78
ENSMUSG00000009647	Mcu	43.63
ENSMUSG00000009654	Oit3	45.46
ENSMUSG00000009670	Tex11	38.0
ENSMUSG00000009681	Bcr	48.93
ENSMUSG00000009687	Fxyd5	51.78
ENSMUSG00000009731	Kcnd1	47.78
ENSMUSG00000009733	Tfcp2	45.12
ENSMUSG00000009734	Pou6f2	40.6
ENSMUSG00000009739	Pou6f1	51.02
ENSMUSG00000009741	Ubp1	43.42
ENSMUSG00000009772	Nuak2	50.05
